,customer_id,month,months_since_joined,referred_friends,transaction_count,transaction_value,clv,total_reward_points,earned_reward_points,cluster,churned
0,2,2017-02-01,62,1,58.0,743.7850201819721,24461.876133751688,41822.999177004465,2146.0,B,False
1,4,2017-02-01,62,1,17.0,185.17048460653785,6089.9552090518055,9374.999673396447,153.0,B,False
2,7,2017-02-01,62,1,71.0,71.0,2335.07419263627,14302.04062544673,213.0,B,False
3,14,2017-02-01,62,0,25.0,187.9861185014117,6182.556815302958,3200.9968032856154,225.0,C,False
4,20,2017-02-01,62,0,63.0,342.6829938972059,11270.284722601376,31744.99723422824,1071.0,B,False
5,30,2017-02-01,62,0,48.0,247.57258471778468,8142.258498292333,16286.604890730188,576.0,C,False
6,40,2017-02-01,62,0,20.0,82.00280726745507,2696.938577098032,2939.997049734629,80.0,C,False
7,43,2017-02-01,62,2,15.0,174.11324478397674,5726.300626636982,5386.06225592366,120.0,B,False
8,47,2017-02-01,62,3,69.0,400.67966405066556,13177.700606181406,59622.6325741321,1380.0,B,False
9,89,2017-02-01,62,2,37.0,189.36817748532818,6228.010481021895,8602.997289079842,333.0,A,False
10,90,2017-02-01,62,1,56.0,258.61180041387433,8505.320296586473,30078.99209499024,672.0,C,False
11,106,2017-02-01,62,1,35.0,232.78889268344503,7656.046980809671,14264.209578307971,385.0,C,False
12,108,2017-02-01,62,0,73.0,534.5722413286535,17581.209082060093,43272.898788635765,1898.0,B,False
13,109,2017-02-01,62,1,79.0,361.30270496973765,11882.656649359302,35527.925313418746,1422.0,B,False
14,112,2017-02-01,62,1,52.0,369.1770897391816,12141.632320598977,24939.908762807183,936.0,B,False
15,119,2017-02-01,62,0,71.0,934.270272940208,30726.625398449632,68397.99820094157,3266.0,C,False
16,123,2017-02-01,62,0,26.0,321.83856417521616,10584.745428178298,17071.809745843453,416.0,A,False
17,127,2017-02-01,62,1,23.0,210.72286809178283,6930.331423653788,6554.5265145837375,230.0,B,False
18,139,2017-02-01,62,0,66.0,683.2867640378096,22472.18716724841,39753.988218401115,2244.0,C,False
19,141,2017-02-01,62,2,64.0,868.1722727722607,28552.769984688486,72739.99712637805,2752.0,B,False
20,154,2017-02-01,62,2,41.0,433.9316338555203,14271.303656119951,17871.986811987994,861.0,A,False
21,158,2017-02-01,62,1,51.0,264.23056694283224,8690.112363012082,14229.261027311404,663.0,C,False
22,168,2017-02-01,62,1,40.0,250.75249550949573,8246.840577512194,15552.560531179482,480.0,C,False
23,170,2017-02-01,62,1,67.0,498.21043898210587,16385.32871224088,42694.97541589672,1608.0,B,False
24,200,2017-02-01,62,1,37.0,239.7568318334776,7885.211134120952,13208.765852436722,407.0,B,False
25,204,2017-02-01,62,0,56.0,654.5732298900001,21527.84586347475,35533.999368724464,1792.0,B,False
26,207,2017-02-01,62,2,69.0,483.24338577640253,15893.086744910568,26610.073586081337,1656.0,B,False
27,214,2017-02-01,62,1,13.0,174.4787030445238,5738.319952731195,4957.893932905573,104.0,B,False
28,228,2017-02-01,62,0,38.0,406.2301469602926,13360.246935743924,16259.658343442456,760.0,C,False
29,262,2017-02-01,62,0,2.0,24.744551735435962,813.807945996754,5606.974727719388,2.0,B,False
30,268,2017-02-01,62,1,65.0,691.1600805018668,22731.127703666418,51551.98948263639,2210.0,C,False
31,275,2017-02-01,62,1,18.0,255.94439492247662,8417.593680751841,17030.55797965946,216.0,B,False
32,280,2017-02-01,62,1,41.0,624.9866094430214,20554.790175403417,45178.99380047131,1271.0,B,False
33,282,2017-02-01,62,2,51.0,588.0612600380545,19340.37566202856,24327.9992842364,1479.0,C,False
34,285,2017-02-01,62,0,59.0,617.5204051240931,20309.23889340231,42771.999245429084,1770.0,C,False
35,302,2017-02-01,62,1,20.0,274.06552711912707,9013.568161508869,9815.999766876988,260.0,A,False
36,310,2017-02-01,62,1,9.0,118.60361361167551,3900.679398563765,3928.968687925188,45.0,C,False
37,311,2017-02-01,62,0,51.0,740.4515771474853,24352.244629491794,38698.995174060285,1887.0,C,False
38,315,2017-02-01,62,2,39.0,381.8947968298922,12559.896963092293,15967.643427415462,741.0,B,False
39,332,2017-02-01,62,2,64.0,848.8907801125576,27918.633140953574,47830.99928140528,2688.0,B,False
40,349,2017-02-01,62,2,65.0,724.7482039114927,23835.78629736923,94735.94930255663,2340.0,B,False
41,359,2017-02-01,62,1,45.0,384.79503373420863,12655.28102432892,15772.954906635274,855.0,B,False
42,365,2017-02-01,62,1,59.0,565.5245495517614,18599.18001352915,39563.99887519522,1652.0,B,False
43,371,2017-02-01,62,1,62.0,353.41960668952424,11623.394404962939,29497.301681265468,1054.0,C,False
44,382,2017-02-01,62,0,48.0,548.3118310710826,18033.081778186235,28792.762492929767,1296.0,C,False
45,383,2017-02-01,62,1,31.0,146.02267481852084,4802.447598710509,8530.82139377157,217.0,A,False
46,385,2017-02-01,62,4,33.0,369.19196413843144,12142.121515328823,19279.004407892833,594.0,A,False
47,400,2017-02-01,62,0,48.0,111.28585435270004,3660.0102324573027,11895.948593229634,240.0,C,False
48,405,2017-02-01,62,0,50.0,281.74700863474084,9266.199559372557,19715.999615749366,700.0,A,False
49,416,2017-02-01,62,0,43.0,175.56738289587008,5774.12485730756,11020.548210865163,344.0,B,False
50,417,2017-02-01,62,0,58.0,180.96405704684338,5951.612667673827,16929.130778398856,522.0,A,False
51,420,2017-02-01,62,1,59.0,898.5294340847854,29551.167505006408,38585.91120718643,2596.0,A,False
52,429,2017-02-01,62,3,54.0,232.86761958451908,7658.636180175365,9919.661242233315,594.0,A,False
53,434,2017-02-01,62,0,71.0,430.9373181625718,14172.82549697615,28992.996473261624,1491.0,B,False
54,438,2017-02-01,62,2,43.0,577.1299453135148,18980.862550692542,18406.980137831448,1204.0,C,False
55,445,2017-02-01,62,1,48.0,380.2238994856466,12504.943874823386,17301.947899824438,912.0,A,False
56,447,2017-02-01,62,1,58.0,58.0,1907.5253968014604,7702.9938400914425,116.0,C,False
57,448,2017-02-01,62,0,70.0,1013.3358774701753,33326.96416835261,69064.99785258563,3500.0,C,False
58,480,2017-02-01,62,1,66.0,887.7206186955958,29195.683197002658,55204.99913594248,2904.0,B,False
59,485,2017-02-01,62,2,60.0,898.1495608240194,29538.674093067148,52151.99907684373,2640.0,B,False
60,491,2017-02-01,62,0,37.0,50.12136744782572,1648.4100229163025,5087.857041559561,74.0,A,False
61,506,2017-02-01,62,0,63.0,83.97189714637209,2761.698731453531,5997.667527815786,252.0,B,False
62,509,2017-02-01,62,1,49.0,49.0,1611.5300766081302,4479.9998382428375,98.0,C,False
63,513,2017-02-01,62,0,53.0,53.0,1743.08355224961,6189.226085339738,106.0,B,False
64,517,2017-02-01,62,3,32.0,300.52943526818814,9883.922935525332,14471.671583558222,480.0,C,False
65,518,2017-02-01,62,1,16.0,121.85247391869335,4007.5291148792253,4478.999758668171,96.0,B,False
66,520,2017-02-01,62,3,66.0,399.2362375718271,13130.22866365037,25973.998384839986,1254.0,B,False
67,525,2017-02-01,62,1,100.0,938.9141433949214,30879.35472313621,93041.99857869065,4600.0,C,False
68,539,2017-02-01,62,0,36.0,107.42902553262121,3533.165423398404,6449.999087499937,180.0,C,False
69,559,2017-02-01,62,3,2.0,27.10427796053864,891.4154926154057,2009.9990518997208,2.0,A,False
70,567,2017-02-01,62,1,13.0,174.18975895580658,5728.8170529469935,4564.980653831939,104.0,A,False
71,571,2017-02-01,62,0,52.0,362.13402988769286,11909.9975699454,22022.999570683038,936.0,C,False
72,585,2017-02-01,62,1,46.0,614.9799478222434,20225.687396458037,34715.22049937108,1380.0,B,False
73,592,2017-02-01,62,1,84.0,1158.8983448105466,38114.27629374644,124750.99777187164,4788.0,B,False
74,601,2017-02-01,62,1,26.0,128.39743269008386,4222.7821334558785,3107.996646035352,156.0,A,False
75,606,2017-02-01,62,1,60.0,197.6283081001732,6499.672703930759,23496.631595942108,540.0,C,False
76,612,2017-02-01,62,2,36.0,427.07119914594324,14045.675148505872,16659.999685752347,756.0,C,False
77,627,2017-02-01,62,0,10.0,152.48862218377892,5015.1020610141495,6970.999800161998,70.0,B,False
78,631,2017-02-01,62,0,56.0,531.7260546565791,17487.602644801133,25796.911656300348,1456.0,B,False
79,636,2017-02-01,62,3,46.0,139.45812484609527,4586.550257486818,9357.999779321211,276.0,C,False
80,637,2017-02-01,62,0,58.0,884.3646227124658,29085.309963047748,41873.6843273507,2552.0,C,False
81,639,2017-02-01,62,0,34.0,485.1225312325411,15954.888773908304,19426.99836882968,816.0,C,False
82,654,2017-02-01,62,0,71.0,359.44087444503293,11821.424080214229,25157.999511796977,1207.0,C,False
83,656,2017-02-01,62,0,70.0,751.2062894380214,24705.949574827828,48445.999229619665,2590.0,A,False
84,663,2017-02-01,62,3,73.0,149.35081752350297,4911.904783778317,35254.879315625236,511.0,B,False
85,668,2017-02-01,62,2,6.0,86.79347609700153,2854.4958608915667,7159.968876519432,24.0,C,False
86,669,2017-02-01,62,1,65.0,690.3549176938732,22704.647212204214,44247.99902599071,2210.0,C,False
87,676,2017-02-01,62,1,63.0,580.5341978141445,19092.822862797297,33293.98040294314,1827.0,C,False
88,686,2017-02-01,62,0,63.0,579.0521302154591,19044.080076861625,31674.999407149757,1764.0,B,False
89,690,2017-02-01,62,2,67.0,579.2902076976623,19051.91005692557,36512.998993033856,1876.0,B,False
90,695,2017-02-01,62,2,44.0,242.61281340274064,7979.139709572093,15194.950861625464,528.0,C,False
91,701,2017-02-01,62,2,46.0,418.8863595676124,13776.489124981534,15842.118262351814,920.0,B,False
92,703,2017-02-01,62,0,54.0,394.045117210144,12959.501182137199,18030.999610103583,1026.0,C,False
93,705,2017-02-01,62,0,52.0,52.0,1710.1951833392402,7322.077310911838,104.0,C,False
94,709,2017-02-01,62,1,62.0,722.1827271574997,23751.41195145293,41554.99930263556,2232.0,B,False
95,711,2017-02-01,62,1,50.0,515.9415594273023,16968.476342636703,31266.99557425906,1250.0,B,False
96,728,2017-02-01,62,1,73.0,742.0160259746428,24403.69679966074,57398.9989962787,2701.0,B,False
97,730,2017-02-01,62,1,63.0,423.7823255486751,13937.50946033934,36698.781812384135,1323.0,B,False
98,773,2017-02-01,62,0,46.0,515.4927017984388,16953.71414735041,21524.9996381257,1150.0,C,False
99,777,2017-02-01,62,0,34.0,177.96498050637786,5852.977932020561,6337.502868614708,272.0,A,False
100,794,2017-02-01,62,2,72.0,191.38708690403462,6294.409118780933,34087.106560285785,648.0,C,True
101,800,2017-02-01,62,1,62.0,869.2334167170868,28587.66927821292,42090.99934422749,2666.0,B,False
102,818,2017-02-01,62,0,45.0,684.9752244614198,22527.71787655067,37313.582056104235,1530.0,B,False
103,833,2017-02-01,62,0,81.0,932.308380165269,30662.101945104845,83955.9971722885,3726.0,B,False
104,841,2017-02-01,62,0,45.0,451.1033227994584,14836.05249692231,27498.999417170908,990.0,B,False
105,844,2017-02-01,62,1,35.0,474.9917944610462,15621.705365633528,13103.999800611731,805.0,A,False
106,854,2017-02-01,62,2,38.0,467.7986893958342,15385.135872637784,30514.990350891534,874.0,C,False
107,889,2017-02-01,62,0,51.0,434.96322669085,14305.231061853567,34141.97067485934,1071.0,B,False
108,900,2017-02-01,62,1,44.0,449.2719191432996,14775.82061785476,19980.283403234564,968.0,C,False
109,905,2017-02-01,62,0,59.0,422.9239303663048,13909.27824291066,26102.965895899462,1239.0,B,False
110,907,2017-02-01,62,0,62.0,396.15340143487185,13028.839211487964,27397.86499510975,1178.0,B,False
111,914,2017-02-01,62,1,0.0,0.0,0.0,876.6325567653591,0.0,C,False
112,917,2017-02-01,62,1,20.0,74.15764889897136,2438.924114515064,1159.7899864031567,60.0,C,False
113,920,2017-02-01,62,0,72.0,396.19235616548883,13030.1203690393,23929.977416510068,1368.0,B,False
114,933,2017-02-01,62,0,72.0,742.7659802606804,24428.361572885853,67143.9988450729,2664.0,C,False
115,956,2017-02-01,62,0,53.0,541.9084971965636,17822.48657146479,30083.235933627748,1431.0,B,False
116,969,2017-02-01,62,0,51.0,649.2005471359365,21351.147091020728,43593.99899590079,1632.0,B,False
117,976,2017-02-01,62,3,60.0,781.9978001594467,25718.63213874168,43082.99935052293,2340.0,A,False
118,981,2017-02-01,62,0,41.0,306.51823145226365,10080.884673756222,10540.999483971586,615.0,C,False
119,985,2017-02-01,62,0,46.0,247.69336508266449,8146.230767489629,20451.568466539768,552.0,B,False
120,1002,2017-02-01,62,0,56.0,170.96440977479014,5622.740579216967,19779.085230228568,448.0,C,False
121,1010,2017-02-01,62,2,57.0,661.9599169921257,21770.78195391493,44857.99923620307,1881.0,B,False
122,1018,2017-02-01,62,0,24.0,357.6315510004532,11761.918383290706,6499.9993851330555,408.0,A,False
123,1026,2017-02-01,62,0,54.0,329.6681816469341,10842.248776015236,23906.64141866852,864.0,B,False
124,1027,2017-02-01,62,1,56.0,726.2359890465261,23884.71712374957,42585.961403177855,2016.0,C,False
125,1030,2017-02-01,62,4,77.0,77.0,2532.4044060984893,20960.885082049223,231.0,B,False
126,1072,2017-02-01,62,1,62.0,764.7711644663722,25152.07618898329,46306.96107396056,2356.0,C,False
127,1077,2017-02-01,62,0,53.0,463.83784924779485,15254.870300654065,21475.87827641076,1219.0,C,False
128,1078,2017-02-01,62,2,31.0,144.38138776672042,4748.468344663084,8669.965656687857,217.0,C,False
